CODE_GENDER_enc,AGE,age_group,y_true,y_pred
0,46,40-50,0,0
0,32,30-40,1,0
1,28,<30,0,0
1,41,40-50,0,0
0,34,30-40,0,0
0,53,50-60,0,0
0,31,30-40,0,0
1,46,40-50,0,0
0,34,30-40,0,0
0,58,50-60,1,0
0,47,40-50,0,1
1,52,50-60,0,0
0,34,30-40,0,0
0,31,30-40,1,0
1,33,30-40,0,0
0,64,60+,0,1
0,38,30-40,0,0
0,34,30-40,0,0
0,39,30-40,0,0
1,48,40-50,0,0
0,34,30-40,0,0
0,52,50-60,0,0
0,45,40-50,0,0
0,48,40-50,0,0
1,45,40-50,0,0
0,42,40-50,1,1
0,65,60+,0,0
0,32,30-40,0,0
0,47,40-50,0,0
0,33,30-40,3,0
0,63,60+,0,1
0,50,40-50,0,0
1,28,<30,0,0
0,39,30-40,0,0
1,41,40-50,0,0
0,62,60+,0,1
1,46,40-50,0,0
0,48,40-50,0,0
0,56,50-60,0,0
0,26,<30,0,0
0,38,30-40,0,0
1,31,30-40,0,0
0,39,30-40,0,0
0,52,50-60,0,0
0,33,30-40,0,1
0,48,40-50,1,0
0,29,<30,0,0
1,25,<30,0,0
0,63,60+,0,0
0,51,50-60,0,0
0,62,60+,0,0
0,44,40-50,0,0
0,42,40-50,0,0
1,31,30-40,0,0
1,45,40-50,0,0
0,33,30-40,0,1
0,36,30-40,0,0
1,59,50-60,0,0
0,25,<30,0,0
1,34,30-40,0,0
0,43,40-50,0,0
0,40,30-40,0,0
0,62,60+,0,0
0,37,30-40,0,0
0,44,40-50,0,3
0,40,30-40,0,0
0,52,50-60,0,0
0,59,50-60,0,0
0,37,30-40,1,1
0,34,30-40,0,0
1,55,50-60,0,0
1,27,<30,0,0
1,33,30-40,1,1
0,33,30-40,1,1
0,23,<30,0,0
1,42,40-50,1,1
0,24,<30,1,0
0,59,50-60,0,0
0,27,<30,0,0
0,31,30-40,0,0
0,35,30-40,0,0
0,36,30-40,0,0
1,27,<30,0,0
0,56,50-60,0,0
0,49,40-50,0,0
0,30,<30,0,0
1,54,50-60,0,1
1,36,30-40,0,0
1,52,50-60,0,0
0,57,50-60,0,0
0,51,50-60,0,0
0,33,30-40,0,0
0,60,50-60,0,0
0,32,30-40,1,1
0,51,50-60,0,0
0,42,40-50,0,0
1,28,<30,0,0
0,56,50-60,0,0
0,60,50-60,0,0
0,58,50-60,3,1
1,43,40-50,0,0
0,55,50-60,1,0
0,31,30-40,0,0
0,47,40-50,0,0
0,60,50-60,0,0
1,28,<30,0,0
1,31,30-40,0,0
1,46,40-50,0,0
0,59,50-60,1,0
0,60,50-60,0,0
1,46,40-50,0,0
0,52,50-60,0,1
0,57,50-60,0,0
0,54,50-60,0,1
0,48,40-50,0,0
0,32,30-40,0,0
0,60,50-60,0,0
1,35,30-40,1,1
1,42,40-50,0,0
0,31,30-40,2,0
0,59,50-60,0,0
1,64,60+,0,0
0,58,50-60,1,0
0,62,60+,0,0
0,37,30-40,0,0
0,32,30-40,0,0
0,61,60+,0,0
0,31,30-40,0,0
0,57,50-60,0,0
1,43,40-50,0,0
1,44,40-50,0,0
0,34,30-40,0,0
0,56,50-60,0,1
0,37,30-40,0,0
0,36,30-40,0,0
0,27,<30,0,0
0,29,<30,1,1
1,56,50-60,0,0
0,57,50-60,0,0
1,48,40-50,0,0
0,58,50-60,0,0
1,38,30-40,0,0
0,45,40-50,1,0
0,57,50-60,0,0
0,60,50-60,0,0
0,30,<30,0,1
0,57,50-60,0,1
0,50,40-50,0,0
0,35,30-40,0,0
1,49,40-50,0,0
0,34,30-40,0,0
0,37,30-40,0,0
0,58,50-60,1,0
0,45,40-50,0,0
1,31,30-40,1,0
1,66,60+,0,0
1,25,<30,0,0
0,25,<30,0,0
0,56,50-60,1,0
1,40,30-40,0,0
1,60,50-60,0,0
1,31,30-40,0,0
0,38,30-40,0,0
0,50,40-50,1,1
0,48,40-50,0,0
0,39,30-40,0,0
0,41,40-50,0,0
0,45,40-50,0,1
0,43,40-50,0,0
1,33,30-40,1,0
0,45,40-50,0,1
0,54,50-60,1,3
0,51,50-60,0,0
1,26,<30,0,0
1,44,40-50,0,0
0,64,60+,0,0
0,44,40-50,1,1
0,54,50-60,0,1
0,48,40-50,0,1
0,37,30-40,0,0
1,28,<30,1,1
0,57,50-60,0,0
1,24,<30,1,1
1,47,40-50,0,1
0,44,40-50,1,1
0,43,40-50,1,0
0,42,40-50,0,0
0,33,30-40,0,0
1,63,60+,0,1
0,56,50-60,0,0
0,29,<30,0,0
0,59,50-60,0,0
0,65,60+,0,0
1,38,30-40,1,0
0,26,<30,0,0
1,49,40-50,0,0
1,38,30-40,0,0
0,30,<30,0,0
0,59,50-60,0,0
1,31,30-40,0,1
0,27,<30,0,0
0,46,40-50,0,0
1,33,30-40,0,0
1,29,<30,0,0
0,56,50-60,1,1
1,31,30-40,0,0
0,35,30-40,0,0
1,25,<30,0,0
0,41,40-50,0,0
0,62,60+,0,0
0,50,40-50,0,0
1,45,40-50,0,0
0,52,50-60,0,0
1,34,30-40,1,0
0,43,40-50,0,0
1,40,30-40,1,0
0,30,<30,0,0
0,49,40-50,0,0
0,33,30-40,1,1
0,44,40-50,0,1
0,54,50-60,0,0
1,46,40-50,0,0
0,37,30-40,1,0
0,34,30-40,0,0
0,59,50-60,0,0
0,58,50-60,1,0
0,60,50-60,1,0
1,50,40-50,1,1
1,43,40-50,0,0
0,32,30-40,0,1
0,37,30-40,0,0
0,53,50-60,0,0
1,54,50-60,0,0
0,32,30-40,0,0
1,29,<30,0,0
0,42,40-50,0,0
0,39,30-40,0,0
0,50,40-50,0,0
0,47,40-50,0,0
0,41,40-50,0,0
0,55,50-60,0,0
1,57,50-60,1,0
0,50,40-50,0,0
0,45,40-50,0,0
0,42,40-50,0,0
0,32,30-40,1,1
1,27,<30,0,0
0,25,<30,0,0
0,48,40-50,0,0
0,48,40-50,0,0
0,59,50-60,0,0
1,35,30-40,1,1
0,29,<30,3,0
0,33,30-40,0,0
1,54,50-60,0,0
1,35,30-40,0,1
1,23,<30,0,0
0,63,60+,0,0
1,55,50-60,0,0
1,37,30-40,0,0
0,36,30-40,0,0
0,62,60+,0,0
0,65,60+,0,0
1,49,40-50,0,0
1,50,40-50,0,0
0,27,<30,0,0
1,64,60+,0,0
0,31,30-40,0,0
0,32,30-40,0,0
0,47,40-50,0,0
0,53,50-60,0,0
0,57,50-60,0,0
0,62,60+,0,0
0,47,40-50,0,0
0,51,50-60,0,0
0,42,40-50,0,0
0,56,50-60,0,0
0,54,50-60,0,0
0,64,60+,0,0
0,60,50-60,0,0
0,46,40-50,1,1
0,27,<30,0,0
0,50,40-50,0,0
1,49,40-50,0,0
0,52,50-60,0,0
0,65,60+,0,0
1,44,40-50,0,0
0,49,40-50,0,0
0,56,50-60,0,0
1,36,30-40,0,0
0,39,30-40,3,1
0,62,60+,0,0
0,61,60+,0,0
0,52,50-60,0,0
0,51,50-60,0,0
1,26,<30,0,0
1,27,<30,0,0
0,57,50-60,0,0
0,34,30-40,0,0
0,45,40-50,0,0
1,49,40-50,0,0
0,45,40-50,0,0
1,37,30-40,0,0
0,61,60+,0,0
0,31,30-40,0,0
0,30,<30,0,0
0,56,50-60,0,0
0,27,<30,1,1
1,27,<30,1,1
1,28,<30,0,0
1,29,<30,0,0
0,56,50-60,0,0
0,27,<30,0,0
0,46,40-50,1,0
0,62,60+,0,0
0,29,<30,0,0
1,37,30-40,0,0
1,25,<30,0,0
1,30,<30,0,0
1,47,40-50,0,0
0,35,30-40,1,0
0,56,50-60,0,0
0,38,30-40,0,0
0,60,50-60,0,0
1,34,30-40,0,0
0,33,30-40,1,1
0,61,60+,0,0
0,42,40-50,0,0
0,42,40-50,0,0
0,49,40-50,0,0
0,30,<30,0,0
0,42,40-50,1,1
0,51,50-60,0,0
0,31,30-40,0,0
1,40,30-40,0,1
1,31,30-40,0,0
0,53,50-60,0,0
0,41,40-50,1,0
0,28,<30,0,0
1,54,50-60,0,0
0,39,30-40,1,0
1,24,<30,1,1
0,48,40-50,0,0
0,32,30-40,0,1
0,51,50-60,0,0
0,33,30-40,1,1
0,33,30-40,0,0
0,55,50-60,0,1
0,32,30-40,0,0
0,58,50-60,0,0
0,60,50-60,0,0
0,34,30-40,0,0
0,54,50-60,1,1
1,24,<30,1,1
0,42,40-50,0,1
0,66,60+,0,0
1,37,30-40,0,0
0,34,30-40,1,0
0,41,40-50,0,0
1,49,40-50,1,0
0,36,30-40,0,0
1,43,40-50,0,0
0,28,<30,0,0
0,63,60+,3,0
0,49,40-50,0,0
0,46,40-50,0,0
0,28,<30,0,3
0,51,50-60,0,0
0,46,40-50,0,0
1,31,30-40,0,0
0,45,40-50,0,0
0,39,30-40,0,0
0,26,<30,0,0
1,28,<30,0,0
0,52,50-60,0,0
0,37,30-40,0,0
0,28,<30,1,0
1,63,60+,1,1
0,64,60+,0,0
0,55,50-60,0,0
0,37,30-40,0,0
1,24,<30,0,0
0,51,50-60,0,0
1,28,<30,0,0
0,59,50-60,0,0
0,43,40-50,0,0
0,35,30-40,0,0
0,33,30-40,0,0
0,60,50-60,0,0
1,45,40-50,0,0
0,35,30-40,0,1
0,66,60+,0,0
0,38,30-40,0,1
0,36,30-40,1,1
0,46,40-50,0,0
1,33,30-40,0,0
0,53,50-60,0,0
0,47,40-50,0,0
0,37,30-40,0,0
1,48,40-50,1,0
0,43,40-50,0,0
0,61,60+,0,0
1,30,<30,1,1
1,24,<30,1,0
0,38,30-40,0,0
1,55,50-60,0,0
1,41,40-50,1,1
1,30,<30,0,0
0,34,30-40,0,0
0,34,30-40,1,0
0,39,30-40,0,0
0,38,30-40,0,0
0,42,40-50,0,0
0,56,50-60,0,0
0,49,40-50,0,0
0,64,60+,0,1
0,50,40-50,0,0
0,34,30-40,0,0
1,53,50-60,0,0
1,29,<30,0,0
1,56,50-60,0,0
1,26,<30,0,0
0,48,40-50,0,0
1,30,<30,0,0
0,39,30-40,3,3
0,55,50-60,1,1
0,29,<30,0,0
0,58,50-60,0,0
0,43,40-50,0,0
0,48,40-50,0,0
0,47,40-50,0,0
0,26,<30,0,0
0,30,<30,0,0
0,54,50-60,0,0
1,48,40-50,0,0
0,39,30-40,0,0
1,33,30-40,0,0
1,58,50-60,0,0
1,50,40-50,1,0
0,46,40-50,0,0
0,33,30-40,1,1
0,28,<30,1,1
0,32,30-40,0,0
0,48,40-50,0,0
1,34,30-40,0,0
0,48,40-50,0,0
1,51,50-60,1,0
1,29,<30,0,0
1,41,40-50,0,0
0,63,60+,0,0
0,50,40-50,0,0
0,37,30-40,0,0
1,43,40-50,1,1
1,57,50-60,0,0
0,33,30-40,0,1
0,60,50-60,0,0
0,30,<30,0,0
0,27,<30,0,0
0,33,30-40,0,0
0,52,50-60,0,0
0,31,30-40,0,0
0,32,30-40,0,0
0,63,60+,0,0
0,39,30-40,0,0
1,34,30-40,0,0
0,35,30-40,0,0
0,53,50-60,0,0
1,38,30-40,0,0
1,29,<30,0,0
0,46,40-50,0,0
0,40,30-40,0,1
1,25,<30,0,0
1,32,30-40,0,0
1,51,50-60,0,0
0,56,50-60,0,0
1,33,30-40,0,0
1,35,30-40,1,1
0,52,50-60,0,0
0,54,50-60,0,3
0,33,30-40,0,0
0,59,50-60,0,0
1,28,<30,0,0
1,33,30-40,0,0
1,26,<30,0,0
0,36,30-40,0,0
0,39,30-40,0,0
0,51,50-60,0,0
0,28,<30,0,0
1,49,40-50,0,0
1,57,50-60,0,0
1,32,30-40,0,0
0,37,30-40,0,0
0,42,40-50,0,0
0,48,40-50,1,0
0,46,40-50,0,0
0,66,60+,0,1
0,45,40-50,0,0
0,32,30-40,0,0
1,49,40-50,1,1
0,43,40-50,0,0
0,32,30-40,0,0
1,37,30-40,0,0
1,37,30-40,0,0
0,44,40-50,0,0
0,33,30-40,0,0
0,51,50-60,0,0
1,35,30-40,0,0
1,32,30-40,0,0
0,57,50-60,3,0
0,58,50-60,1,1
1,35,30-40,0,0
1,38,30-40,0,0
0,42,40-50,0,0
0,25,<30,0,0
0,27,<30,0,0
1,41,40-50,0,0
0,47,40-50,0,0
0,33,30-40,0,0
0,33,30-40,0,0
1,32,30-40,0,0
0,55,50-60,0,0
0,62,60+,0,0
1,39,30-40,0,0
0,31,30-40,0,0
0,38,30-40,0,0
1,42,40-50,0,0
0,43,40-50,0,0
0,36,30-40,0,0
0,54,50-60,0,1
0,27,<30,0,0
0,28,<30,0,0
1,52,50-60,0,0
0,32,30-40,0,0
0,32,30-40,0,0
1,40,30-40,0,1
0,61,60+,0,0
1,52,50-60,0,0
0,25,<30,1,0
1,27,<30,0,0
0,32,30-40,0,0
0,56,50-60,0,0
0,52,50-60,0,0
0,51,50-60,0,0
0,25,<30,0,0
0,56,50-60,0,0
0,50,40-50,0,0
0,51,50-60,0,0
0,64,60+,0,0
0,59,50-60,0,0
1,32,30-40,0,1
0,39,30-40,1,0
1,44,40-50,0,1
0,27,<30,0,1
0,32,30-40,0,1
0,60,50-60,0,0
0,41,40-50,0,2
0,34,30-40,0,0
0,55,50-60,0,0
0,50,40-50,0,0
0,48,40-50,0,0
1,48,40-50,0,0
0,37,30-40,0,0
0,38,30-40,0,0
0,56,50-60,0,0
0,46,40-50,0,0
0,46,40-50,0,0
1,46,40-50,0,0
0,56,50-60,0,0
0,45,40-50,0,0
0,60,50-60,0,1
1,44,40-50,0,0
0,23,<30,0,0
0,42,40-50,0,0
0,50,40-50,0,0
0,35,30-40,0,0
0,41,40-50,0,0
0,39,30-40,0,0
0,22,<30,0,0
0,52,50-60,0,0
0,59,50-60,0,0
0,40,30-40,1,1
0,28,<30,0,0
1,62,60+,1,0
1,30,<30,1,0
1,38,30-40,0,0
0,38,30-40,0,0
0,64,60+,0,0
0,48,40-50,0,0
0,34,30-40,0,0
0,41,40-50,0,0
0,41,40-50,1,1
1,51,50-60,0,1
1,57,50-60,0,0
0,36,30-40,0,0
0,33,30-40,1,0
1,26,<30,0,0
0,56,50-60,0,0
0,39,30-40,0,0
0,66,60+,0,0
0,60,50-60,0,0
0,51,50-60,0,0
0,61,60+,0,0
0,57,50-60,0,0
1,37,30-40,0,0
0,28,<30,0,0
0,30,<30,0,1
1,32,30-40,0,0
0,61,60+,0,0
1,44,40-50,0,1
0,38,30-40,0,0
0,48,40-50,0,0
0,48,40-50,0,1
1,26,<30,0,0
0,50,40-50,0,0
0,41,40-50,0,0
1,35,30-40,1,0
0,47,40-50,0,1
1,54,50-60,0,0
1,42,40-50,0,0
0,27,<30,0,0
0,50,40-50,0,0
1,34,30-40,0,0
1,27,<30,0,0
0,31,30-40,0,0
1,53,50-60,0,0
1,40,30-40,0,0
1,37,30-40,0,0
0,44,40-50,0,0
0,40,30-40,0,0
1,28,<30,0,0
0,58,50-60,0,0
0,30,<30,0,0
0,61,60+,0,0
0,45,40-50,0,0
1,64,60+,0,0
0,58,50-60,0,0
0,54,50-60,0,0
0,35,30-40,0,1
0,62,60+,0,0
0,28,<30,0,0
1,37,30-40,2,0
0,54,50-60,0,0
0,23,<30,0,0
1,34,30-40,0,0
0,37,30-40,0,0
1,62,60+,0,0
0,59,50-60,0,0
1,34,30-40,0,0
0,58,50-60,0,1
0,60,50-60,0,0
0,47,40-50,0,0
1,54,50-60,0,0
0,37,30-40,0,0
0,28,<30,0,0
1,36,30-40,0,0
0,32,30-40,0,0
1,34,30-40,0,0
0,55,50-60,0,0
0,63,60+,0,1
0,48,40-50,1,0
0,39,30-40,0,0
1,34,30-40,0,0
1,42,40-50,0,1
1,35,30-40,0,0
0,58,50-60,0,0
0,33,30-40,0,0
0,27,<30,0,0
1,55,50-60,0,0
1,32,30-40,0,0
1,44,40-50,0,0
1,52,50-60,0,0
0,56,50-60,0,0
0,57,50-60,0,0
0,54,50-60,0,0
0,31,30-40,0,0
1,40,30-40,0,0
0,60,50-60,0,1
0,26,<30,0,0
0,35,30-40,0,0
0,49,40-50,0,0
0,37,30-40,0,0
0,32,30-40,0,0
0,42,40-50,0,0
0,42,40-50,0,0
0,29,<30,0,0
0,31,30-40,0,0
0,41,40-50,0,0
1,32,30-40,0,0
1,27,<30,0,0
1,36,30-40,1,1
0,41,40-50,1,0
1,31,30-40,0,0
1,34,30-40,1,0
0,47,40-50,0,1
0,43,40-50,0,0
0,43,40-50,1,1
1,35,30-40,0,0
0,55,50-60,0,0
0,37,30-40,0,0
0,25,<30,0,0
1,49,40-50,0,0
1,40,30-40,0,0
0,34,30-40,1,1
0,37,30-40,0,0
0,40,30-40,0,0
0,29,<30,0,1
1,45,40-50,0,1
0,51,50-60,0,0
1,53,50-60,0,0
0,52,50-60,0,0
0,51,50-60,0,0
0,53,50-60,0,0
0,52,50-60,0,0
0,36,30-40,0,0
1,32,30-40,0,1
0,36,30-40,0,0
0,44,40-50,1,0
0,27,<30,0,0
1,41,40-50,0,0
0,37,30-40,0,0
0,37,30-40,0,0
0,57,50-60,0,0
0,42,40-50,0,0
0,25,<30,0,0
0,59,50-60,0,0
0,38,30-40,0,0
1,24,<30,0,0
0,43,40-50,0,0
1,37,30-40,0,0
0,48,40-50,0,0
0,29,<30,0,0
0,32,30-40,0,0
0,59,50-60,1,0
0,45,40-50,0,0
0,47,40-50,0,0
0,62,60+,0,0
0,27,<30,0,0
0,28,<30,1,0
1,27,<30,0,0
0,58,50-60,1,1
0,32,30-40,0,1
0,62,60+,0,0
0,31,30-40,0,0
0,37,30-40,0,0
0,26,<30,0,0
0,55,50-60,0,0
0,30,<30,1,0
1,50,40-50,1,1
0,34,30-40,0,0
0,27,<30,1,0
1,50,40-50,1,0
0,41,40-50,0,0
0,40,30-40,0,0
1,28,<30,0,0
1,37,30-40,1,0
0,32,30-40,0,1
0,62,60+,0,0
1,32,30-40,0,0
1,33,30-40,0,0
0,29,<30,0,0
0,63,60+,0,0
0,32,30-40,1,1
0,63,60+,0,0
1,41,40-50,0,0
0,53,50-60,0,0
1,29,<30,1,0
0,59,50-60,0,0
1,45,40-50,0,0
0,41,40-50,1,1
0,43,40-50,0,0
1,56,50-60,0,0
0,43,40-50,0,0
0,39,30-40,0,0
0,31,30-40,0,0
0,41,40-50,0,0
0,46,40-50,0,0
0,60,50-60,0,0
0,57,50-60,0,0
0,38,30-40,0,0
0,42,40-50,0,0
0,41,40-50,0,1
0,57,50-60,0,0
0,45,40-50,0,0
0,37,30-40,0,0
0,61,60+,0,0
0,55,50-60,0,0
0,23,<30,0,0
0,52,50-60,0,1
1,27,<30,0,0
0,52,50-60,0,0
0,30,<30,0,0
0,31,30-40,0,0
0,42,40-50,0,0
1,47,40-50,0,0
0,54,50-60,0,0
0,57,50-60,0,0
0,32,30-40,0,0
1,33,30-40,0,0
0,30,<30,0,0
0,36,30-40,0,0
1,37,30-40,0,0
1,39,30-40,0,0
0,45,40-50,0,0
0,56,50-60,0,0
0,58,50-60,1,1
0,27,<30,0,0
1,31,30-40,0,0
1,24,<30,0,0
0,32,30-40,0,0
0,59,50-60,0,0
0,41,40-50,0,0
0,43,40-50,0,0
0,42,40-50,2,0
1,27,<30,0,0
0,57,50-60,0,0
0,39,30-40,0,0
0,60,50-60,0,0
1,47,40-50,0,0
0,54,50-60,0,0
0,49,40-50,0,0
1,44,40-50,0,0
1,60,50-60,0,0
1,34,30-40,0,0
1,30,<30,0,0
1,33,30-40,0,0
0,33,30-40,1,1
0,34,30-40,0,0
0,36,30-40,0,0
1,41,40-50,1,0
0,60,50-60,0,0
0,33,30-40,1,0
0,40,30-40,0,0
0,48,40-50,0,0
0,57,50-60,0,0
0,47,40-50,0,0
0,27,<30,0,0
0,43,40-50,0,0
1,26,<30,0,0
0,30,<30,0,0
1,41,40-50,0,0
0,57,50-60,0,0
1,44,40-50,0,0
0,27,<30,1,1
0,28,<30,0,0
1,25,<30,0,0
1,32,30-40,0,0
0,64,60+,0,0
0,31,30-40,0,0
1,41,40-50,0,0
1,37,30-40,0,0
0,42,40-50,0,0
0,58,50-60,0,0
0,44,40-50,0,0
0,25,<30,0,0
1,36,30-40,0,0
0,39,30-40,0,0
0,24,<30,0,0
0,39,30-40,1,1
0,63,60+,0,0
1,51,50-60,0,0
1,42,40-50,0,0
0,39,30-40,0,0
0,37,30-40,0,0
0,43,40-50,0,0
0,49,40-50,0,0
0,40,30-40,0,0
0,42,40-50,0,0
0,51,50-60,0,0
0,50,40-50,0,0
1,62,60+,0,0
0,58,50-60,0,0
0,42,40-50,0,0
0,53,50-60,0,0
1,66,60+,0,0
1,32,30-40,1,1
0,29,<30,0,0
1,37,30-40,0,0
0,37,30-40,0,0
1,33,30-40,0,0
0,33,30-40,0,0
1,50,40-50,0,0
0,31,30-40,0,0
0,27,<30,0,0
1,57,50-60,0,0
0,62,60+,0,0
0,59,50-60,0,0
0,65,60+,0,0
0,38,30-40,1,1
1,40,30-40,0,0
0,57,50-60,0,1
1,45,40-50,0,0
0,48,40-50,1,0
0,45,40-50,0,0
0,52,50-60,0,0
0,59,50-60,0,0
0,53,50-60,0,0
0,57,50-60,0,0
1,43,40-50,0,0
0,55,50-60,0,0
0,64,60+,0,0
1,39,30-40,0,0
1,45,40-50,0,0
1,35,30-40,0,1
0,30,<30,0,0
0,36,30-40,0,0
0,28,<30,1,0
0,37,30-40,0,1
0,28,<30,0,0
1,60,50-60,0,0
0,28,<30,0,0
1,68,60+,0,0
1,35,30-40,1,0
0,50,40-50,0,0
0,57,50-60,0,0
0,43,40-50,0,0
0,64,60+,0,0
1,47,40-50,0,0
0,28,<30,3,1
0,27,<30,0,0
1,24,<30,0,0
0,64,60+,0,0
0,33,30-40,0,0
1,25,<30,0,0
1,40,30-40,0,0
0,41,40-50,0,0
0,36,30-40,0,0
0,34,30-40,0,0
0,58,50-60,0,0
0,48,40-50,0,0
1,39,30-40,0,0
0,36,30-40,0,0
0,37,30-40,0,0
0,38,30-40,0,0
0,40,30-40,0,0
1,66,60+,1,1
0,54,50-60,0,0
0,37,30-40,0,0
0,38,30-40,0,0
0,38,30-40,0,0
0,61,60+,0,0
1,35,30-40,0,0
0,38,30-40,0,0
0,57,50-60,0,0
1,49,40-50,0,0
1,46,40-50,1,1
0,43,40-50,0,0
0,36,30-40,0,1
1,51,50-60,1,0
0,51,50-60,0,0
0,55,50-60,0,1
1,38,30-40,0,0
0,56,50-60,0,0
1,31,30-40,0,0
0,37,30-40,0,0
1,44,40-50,0,0
0,58,50-60,0,1
1,55,50-60,0,0
1,42,40-50,0,1
1,59,50-60,0,0
0,38,30-40,0,0
0,27,<30,1,1
1,56,50-60,0,0
1,60,50-60,0,0
0,55,50-60,0,0
0,28,<30,0,0
0,24,<30,0,0
0,57,50-60,0,0
1,55,50-60,0,0
0,56,50-60,0,0
1,46,40-50,0,0
1,30,<30,0,0
0,33,30-40,0,0
0,42,40-50,0,0
0,28,<30,0,0
0,53,50-60,0,0
0,45,40-50,0,0
1,34,30-40,0,0
1,35,30-40,0,0
1,26,<30,0,0
0,58,50-60,0,0
1,29,<30,0,0
1,45,40-50,0,0
0,57,50-60,1,0
1,40,30-40,0,0
0,30,<30,0,0
0,48,40-50,1,0
0,52,50-60,0,0
0,38,30-40,0,0
1,57,50-60,1,0
0,39,30-40,0,0
1,41,40-50,0,0
0,31,30-40,0,0
1,38,30-40,0,0
1,30,<30,0,0
0,37,30-40,0,0
1,48,40-50,0,0
1,35,30-40,0,0
1,24,<30,1,0
0,46,40-50,0,0
0,41,40-50,0,0
0,56,50-60,1,0
0,62,60+,0,3
0,45,40-50,0,0
0,38,30-40,0,0
0,55,50-60,0,0
1,28,<30,0,0
0,40,30-40,0,0
1,43,40-50,0,0
0,54,50-60,0,0
0,54,50-60,0,0
0,37,30-40,0,0
0,40,30-40,0,0
0,45,40-50,0,0
0,42,40-50,0,0
0,26,<30,1,1
1,38,30-40,0,0
1,38,30-40,0,0
1,39,30-40,0,0
0,44,40-50,0,0
0,37,30-40,0,1
1,36,30-40,0,0
1,31,30-40,0,0
0,48,40-50,0,0
0,58,50-60,0,0
1,32,30-40,1,0
0,44,40-50,0,0
0,58,50-60,0,0
0,40,30-40,0,0
0,49,40-50,0,0
1,50,40-50,0,0
1,51,50-60,0,0
0,57,50-60,0,1
0,58,50-60,1,0
0,45,40-50,0,0
0,48,40-50,0,0
0,46,40-50,1,0
0,27,<30,1,1
0,62,60+,0,0
1,60,50-60,0,0
1,36,30-40,0,0
0,35,30-40,0,0
0,63,60+,0,0
1,45,40-50,0,0
1,26,<30,0,0
0,58,50-60,0,0
1,51,50-60,0,0
0,29,<30,1,0
0,36,30-40,0,0
0,54,50-60,0,0
0,62,60+,1,1
0,56,50-60,0,0
0,48,40-50,1,0
0,33,30-40,0,0
1,37,30-40,0,1
0,25,<30,1,0
0,25,<30,0,0
0,26,<30,0,0
0,51,50-60,0,1
1,60,50-60,0,0
0,35,30-40,0,0
0,63,60+,0,0
1,40,30-40,0,0
1,35,30-40,0,1
1,25,<30,0,0
0,39,30-40,0,1
0,61,60+,0,0
1,46,40-50,0,0
1,54,50-60,1,1
0,27,<30,0,0
0,50,40-50,0,0
0,47,40-50,0,0
0,56,50-60,0,0
1,31,30-40,0,0
1,27,<30,0,0
1,27,<30,0,0
0,38,30-40,0,1
0,56,50-60,0,0
0,38,30-40,0,0
1,41,40-50,1,1
1,39,30-40,0,0
0,43,40-50,0,0
0,43,40-50,0,1
0,33,30-40,0,0
0,48,40-50,1,1
1,37,30-40,1,1
0,45,40-50,0,0
0,58,50-60,1,1
0,61,60+,0,0
1,32,30-40,0,0
0,54,50-60,0,0
0,40,30-40,0,0
0,36,30-40,0,0
0,39,30-40,0,0
1,32,30-40,0,0
0,49,40-50,0,0
0,30,<30,0,0
0,63,60+,0,0
0,30,<30,0,0
0,54,50-60,0,0
0,42,40-50,0,0
0,37,30-40,0,0
0,60,50-60,0,0
0,60,50-60,0,0
1,27,<30,0,1
1,47,40-50,0,0
0,56,50-60,0,0
0,46,40-50,0,0
0,60,50-60,0,0
1,29,<30,0,0
0,61,60+,0,0
1,26,<30,0,0
0,27,<30,0,1
0,41,40-50,0,0
1,34,30-40,0,0
1,61,60+,0,1
0,60,50-60,0,0
0,47,40-50,0,0
1,27,<30,0,1
1,39,30-40,0,0
0,55,50-60,1,1
0,31,30-40,0,0
0,34,30-40,0,1
0,55,50-60,0,0
0,53,50-60,0,0
1,44,40-50,0,0
0,61,60+,0,0
0,43,40-50,0,0
0,60,50-60,0,0
0,28,<30,0,0
0,37,30-40,1,0
1,52,50-60,0,0
1,51,50-60,0,0
1,29,<30,0,0
1,57,50-60,0,0
1,41,40-50,0,0
0,22,<30,0,0
0,59,50-60,0,0
0,54,50-60,0,0
1,33,30-40,0,0
0,38,30-40,0,0
0,41,40-50,0,0
0,29,<30,0,0
1,55,50-60,0,0
0,33,30-40,0,0
1,39,30-40,0,0
0,42,40-50,0,1
1,28,<30,0,0
0,39,30-40,0,0
0,44,40-50,1,1
0,56,50-60,0,0
0,53,50-60,0,1
1,24,<30,0,0
1,66,60+,0,0
1,27,<30,0,0
0,40,30-40,0,0
1,50,40-50,0,0
0,59,50-60,0,0
0,43,40-50,0,0
0,43,40-50,0,0
0,39,30-40,0,0
1,44,40-50,0,0
0,47,40-50,0,0
0,57,50-60,0,0
1,64,60+,0,0
1,37,30-40,0,0
0,43,40-50,0,1
1,44,40-50,0,0
0,27,<30,0,0
1,35,30-40,0,0
1,34,30-40,0,0
0,36,30-40,0,0
0,49,40-50,0,0
1,39,30-40,0,0
1,58,50-60,1,0
0,64,60+,0,0
0,58,50-60,0,0
0,49,40-50,0,0
1,25,<30,0,0
0,61,60+,1,1
0,38,30-40,1,1
1,27,<30,0,0
0,48,40-50,0,0
1,53,50-60,0,0
0,57,50-60,0,0
0,32,30-40,0,0
0,29,<30,0,0
